"city_state","years","_2000_population","_2020_population","_2000_price","_2020_price","pop_increase","price_increase"
"Gilbert AZ",2000,109697,377577.074,"$179,136.00","$381,036.59",2.442,1.12707995
"North Las Vegas NV",2000,115488,377992.224,"$161,512.00","$282,432.25",2.273,0.748676572
"Irvine CA",2000,143072,450676.800,"$412,337.00","$1,065,660.79",2.150,1.584441348
"Henderson NV",2000,175381,492995.991,"$195,176.00","$359,594.44",1.811,0.842411172
"Peoria AZ",2000,108364,299301.368,"$158,827.00","$321,825.07",1.762,1.026261734
"Fort Worth TX",2000,534694,1453832.986,"$109,608.00","$222,193.75",1.719,1.02716731
"Fontana CA",2000,128929,337278.264,"$158,294.00","$436,711.17",1.616,1.758861149
"Chula Vista CA",2000,173556,448989.372,"$245,631.00","$596,417.30",1.587,1.428102713
"Chandler AZ",2000,176581,452577.103,"$170,069.00","$358,574.98",1.563,1.108408834
"Grand Prairie TX",2000,127427,323537.153,"$110,579.00","$231,059.32",1.539,1.089540676
"Clarksville TN",2000,112615,279285.200,"$118,063.00","$200,377.02",1.480,0.697204164
"Moreno Valley CA",2000,142381,350969.165,"$138,307.00","$367,403.36",1.465,1.656433582
"Palmdale CA",2000,116670,286074.840,"$132,478.00","$353,533.56",1.452,1.668620867
"Santa Clarita CA",2000,160785,389421.270,"$265,167.00","$631,290.79",1.422,1.380729087
"Fayetteville NC",2000,146800,355256.000,"$100,895.00","$132,777.89",1.420,0.316000697
"Joliet IL",2000,106221,256629.936,"$108,979.00","$155,810.80",1.416,0.429732311
"Aurora CO",2000,276393,662790.414,"$194,493.00","$392,609.50",1.398,1.018630483
"Bellevue WA",2000,109569,261431.634,"$383,000.00","$1,180,538.15",1.386,2.082345047
"Rancho Cucamonga CA",2000,127743,302239.938,"$216,319.00","$584,218.02",1.366,1.700724469
"Charlotte NC",2000,649878,1524613.788,"$165,729.00","$272,743.22",1.346,0.645718101
"Irving TX",2000,191615,448379.100,"$138,107.00","$253,139.15",1.340,0.832920511
"Vancouver WA",2000,143560,334494.800,"$167,314.00","$379,508.40",1.330,1.268240556
"Lincoln NE",2000,226082,517275.616,"$120,585.00","$208,308.55",1.288,0.727483065
"West Valley City UT",2000,108896,249154.048,"$158,357.00","$327,465.69",1.288,1.067895258
"Plano TX",2000,222030,507560.580,"$204,392.00","$357,669.83",1.286,0.749920903
"Lubbock TX",2000,200895,458040.600,"$86,963.00","$156,224.77",1.280,0.796450967
"Mesa AZ",2000,396375,900564.000,"$139,064.00","$291,846.38",1.272,1.098647929
"Aurora IL",2000,142990,323586.370,"$139,415.00","$198,364.14",1.263,0.422832151
"Arlington VA",2000,189453,428163.780,"$307,010.00","$903,401.58",1.260,1.942580302
"Corona CA",2000,124966,282048.262,"$221,748.00","$531,483.13",1.257,1.396788843
"Bakersfield CA",2000,321591,725187.705,"$123,179.00","$274,504.73",1.255,1.228502675
"Chesapeake VA",2000,199184,448562.368,"$145,942.00","$302,573.90",1.252,1.073247622
"Santa Clara CA",2000,102361,230005.167,"$487,308.00","$1,407,293.47",1.247,1.887893226
