"city_state","years","_2000_population","_2020_population","_2000_price","_2020_price","price_increase","pop_increase"
"Inglewood CA",2000,112580,220319.060,"$184,883.00","$635,731.07",2.438558835,0.957
"Pasadena CA",2000,133936,272693.696,"$315,242.00","$1,004,621.16",2.186825236,1.036
"Burbank CA",2000,100316,207654.120,"$295,120.00","$934,964.28",2.16808172,1.070
"Oakland CA",2000,399484,840114.852,"$271,595.00","$857,832.96",2.158500563,1.103
"Sunnyvale CA",2000,131760,287500.320,"$589,290.00","$1,851,930.06",2.142646336,1.182
"Los Angeles CA",2000,7742154,11644199.616,"$258,425.00","$809,832.79",2.133724635,0.504
"Long Beach CA",2000,461522,928120.742,"$218,743.00","$675,353.90",2.087430922,1.011
"Bellevue WA",2000,109569,261431.634,"$383,000.00","$1,180,538.15",2.082345047,1.386
"El Monte CA",2000,115965,225435.960,"$178,562.00","$543,544.34",2.044009011,0.944
"Lowell MA",2000,105167,220745.533,"$116,668.00","$354,032.01",2.034525418,1.099
"Norwalk CA",2000,103298,206079.510,"$173,217.00","$525,418.76",2.033297861,0.995
"San Francisco CA",2000,1886251,2759585.213,"$498,206.00","$1,500,929.75",2.012668954,0.463
"Berkeley CA",2000,102743,227062.030,"$472,034.00","$1,420,963.34",2.010298697,1.210
"Glendale CA",2000,194973,391505.784,"$340,783.00","$1,021,045.83",1.996175961,1.008
"Ontario CA",2000,158007,333236.763,"$159,628.00","$472,800.43",1.961889056,1.109
"Pomona CA",2000,149473,301188.095,"$163,323.00","$483,435.23",1.959994816,1.015
"Jersey City NJ",2000,240055,532441.990,"$176,289.00","$519,539.52",1.947089847,1.218
"San Bernardino CA",2000,185401,407511.398,"$110,854.00","$326,616.94",1.946370352,1.198
"Arlington VA",2000,189453,428163.780,"$307,010.00","$903,401.58",1.942580302,1.260
"Santa Clara CA",2000,102361,230005.167,"$487,308.00","$1,407,293.47",1.887893226,1.247
"Fremont CA",2000,203413,433879.929,"$412,932.00","$1,189,455.74",1.880512385,1.133
"Garden Grove CA",2000,165196,337165.036,"$238,187.00","$686,083.59",1.88044097,1.041
"Cambridge MA",2000,101355,219737.640,"$521,400.00","$1,494,365.21",1.866062918,1.168
"Daly City CA",2000,103621,208485.452,"$390,268.00","$1,115,069.68",1.85718962,1.012
"Seattle WA",2000,1637790,2374795.500,"$287,674.00","$820,699.73",1.852881136,0.450
"West Covina CA",2000,105080,214573.360,"$213,924.00","$605,556.40",1.830708114,1.042
"Downey CA",2000,107323,221729.318,"$221,230.00","$619,531.48",1.800395442,1.066
"Santa Ana CA",2000,337977,648239.886,"$226,232.00","$627,951.35",1.775696418,0.918
"Fontana CA",2000,128929,337278.264,"$158,294.00","$436,711.17",1.758861149,1.616
"San Diego CA",2000,1948918,3336547.616,"$272,745.00","$748,169.40",1.743109489,0.712
"Costa Mesa CA",2000,108724,220600.996,"$338,637.00","$924,844.18",1.731078361,1.029
"Torrance CA",2000,137946,284996.436,"$338,846.00","$925,255.36",1.730607303,1.066
"Rancho Cucamonga CA",2000,127743,302239.938,"$216,319.00","$584,218.02",1.700724469,1.366
"Portland OR",2000,1056130,1708818.340,"$181,159.00","$487,143.05",1.689035885,0.618
"Boston MA",2000,2310813,2985570.396,"$240,882.00","$646,880.39",1.685465854,0.292
"Hollywood FL",2000,139357,292370.986,"$123,700.00","$330,922.19",1.675199626,1.098
