years,sex,city_state,population,female_comparison,male_comparison,male_pop_2000,female_pop_2000,total_pop_2000,total_pop_2020,city_state_year,pop_increase,price_increase
2000,Both,Abilene TX,115930,0.495,0.505,58529,57401,115930,125182,Abilene TX 2000,1.080,
2000,Male,Abilene TX,58529,0.495,0.505,58529,57401,115930,125182,Abilene TX 2000,1.080,
2000,Female,Abilene TX,57401,0.495,0.505,58529,57401,115930,125182,Abilene TX 2000,1.080,
2020,Both,Abilene TX,125182,0.495,0.505,,,115930,125182,Abilene TX 2020,1.080,
2000,Both,Akron OH,393645,0.521,0.479,188725,204920,393645,190469,Akron OH 2000,0.484,-0.044148716
2000,Male,Akron OH,188725,0.521,0.479,188725,204920,393645,190469,Akron OH 2000,0.484,-0.044148716
2000,Female,Akron OH,204920,0.521,0.479,188725,204920,393645,190469,Akron OH 2000,0.484,-0.044148716
2020,Both,Akron OH,190469,0.521,0.479,,,393645,190469,Akron OH 2020,0.484,-0.044148716
2000,Both,Albuquerque NM,523399,0.514,0.486,254634,268766,523400,564559,Albuquerque NM 2000,1.079,
2000,Male,Albuquerque NM,254634,0.514,0.486,254634,268766,523400,564559,Albuquerque NM 2000,1.079,
2000,Female,Albuquerque NM,268766,0.514,0.486,254634,268766,523400,564559,Albuquerque NM 2000,1.079,
2020,Both,Albuquerque NM,564559,0.514,0.486,,,523400,564559,Albuquerque NM 2020,1.079,
2000,Both,Alexandria VA,128283,0.517,0.483,61974,66309,128283,159467,Alexandria VA 2000,1.243,1.584610262
2000,Male,Alexandria VA,61974,0.517,0.483,61974,66309,128283,159467,Alexandria VA 2000,1.243,1.584610262
2000,Female,Alexandria VA,66309,0.517,0.483,61974,66309,128283,159467,Alexandria VA 2000,1.243,1.584610262
2020,Both,Alexandria VA,159467,0.517,0.483,,,128283,159467,Alexandria VA 2020,1.243,1.584610262
2000,Both,Allentown PA,341520,0.519,0.481,164271,177250,341521,125845,Allentown PA 2000,0.368,0.82702721
2000,Male,Allentown PA,164271,0.519,0.481,164271,177250,341521,125845,Allentown PA 2000,0.368,0.82702721
2000,Female,Allentown PA,177250,0.519,0.481,164271,177250,341521,125845,Allentown PA 2000,0.368,0.82702721
2020,Both,Allentown PA,125845,0.519,0.481,,,341521,125845,Allentown PA 2020,0.368,0.82702721
2000,Both,Amarillo TX,176470,0.513,0.487,85866,90604,176470,200393,Amarillo TX 2000,1.136,
2000,Male,Amarillo TX,85866,0.513,0.487,85866,90604,176470,200393,Amarillo TX 2000,1.136,
2000,Female,Amarillo TX,90604,0.513,0.487,85866,90604,176470,200393,Amarillo TX 2000,1.136,
2020,Both,Amarillo TX,200393,0.513,0.487,,,176470,200393,Amarillo TX 2020,1.136,
2000,Both,Anaheim CA,328014,0.500,0.500,164058,163956,328014,346824,Anaheim CA 2000,1.057,1.674791674
2000,Male,Anaheim CA,164058,0.500,0.500,164058,163956,328014,346824,Anaheim CA 2000,1.057,1.674791674
2000,Female,Anaheim CA,163956,0.500,0.500,164058,163956,328014,346824,Anaheim CA 2000,1.057,1.674791674
2020,Both,Anaheim CA,346824,0.500,0.500,,,328014,346824,Anaheim CA 2020,1.057,1.674791674
2000,Both,Anchorage AK,260283,0.494,0.506,131668,128615,260283,291247,Anchorage AK 2000,1.119,1.143945623
